C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-1.0366143054421577,-4.149603155297435,-3.0832610063159653,-4.762393993600221,-4.047272933059512,-3.310570665507067,-4.0656555711738225,-3.6190364852284707,-3.8776739002362097,-3.5393396694933146,-3.626758804647069,-3.829772919619321,-4.281196043547879,78
-1.0440208642838007,-4.151156659891871,-3.057447243934332,-4.7588695770840195,-4.044581816769207,-3.299099009244614,-4.0642623879102064,-3.6045831685312324,-3.8790103329563075,-3.5442007458243303,-3.6296118342172394,-3.8309504830028827,-4.283001943275621,79
-1.0467495964886164,-4.151729003689821,-3.0479369104253093,-4.757571107841208,-4.043590352872778,-3.2948726095689733,-4.063749109865716,-3.5992582623796183,-3.879502702905817,-3.5459916686831257,-3.630662950374671,-3.8313843221441948,-4.283667274754262,80
-1.055845037916859,-4.130657683835887,-3.038136952634081,-4.750650483257674,-4.045421812303557,-3.290086558694495,-4.064816041383695,-3.5959254034797543,-3.8807428360546057,-3.5473670007450786,-3.6321750990747024,-3.8325844219407466,-4.28423400229063,81
-1.0805326646506586,-4.07346410137521,-3.011537067200749,-4.731865930816654,-4.0503929164728145,-3.2770958491780564,-4.067711998361067,-3.5868790721801234,-3.884108911744175,-3.5511000449132366,-3.6362795026890735,-3.835841835674245,-4.285772262746484,82
-1.1169144303636276,-3.9891788219594724,-2.972337236035837,-4.704183432482519,-4.057718754195931,-3.257951645680145,-4.071979724432983,-3.573547636580667,-3.8890694443393294,-3.5566013731610484,-3.6423280974891994,-3.8406422348604528,-4.288039172891952,83
-1.1610922887293753,-3.886832411240365,-2.9247374410498743,-4.67056897021964,-4.066614414288288,-3.234705112861254,-4.077161963234595,-3.557359464781328,-3.895092948204875,-3.5632815574619636,-3.6496728197464954,-3.8464712910151344,-4.2907918494971655,84
-1.2091681934215122,-3.775455434869571,-2.872937664153384,-4.63398852599239,-4.076294985565262,-3.2094074153818717,-4.082801458401056,-3.539742924882047,-3.901647937705615,-3.570551169789429,-3.657665605732376,-3.852814675654052,-4.293787409332249,85
-1.2572440981136501,-3.6640784584987753,-2.821137887256894,-4.597408081765139,-4.085975556842238,-3.1841097179024893,-4.088440953567516,-3.5221263849827653,-3.9082029272063554,-3.577820782116895,-3.665658391718257,-3.8591580602929696,-4.296782969167333,86
-1.3014219564793967,-3.5617320477796692,-2.773538092270931,-4.5637936195022615,-4.094871216934592,-3.160863185083598,-4.093623192369127,-3.5059382131834256,-3.9142264310718997,-3.5845009664178096,-3.673003113975552,-3.86498711644765,-4.299535645772545,87
-1.337803722192366,-3.477446768363932,-2.7343382611060196,-4.536111121168125,-4.10219705465771,-3.1417189815856874,-4.097890918441044,-3.49260677758397,-3.919186963667055,-3.5900022946656214,-3.6790517087756784,-3.8697875156338584,-4.301802555918014,88
-1.362491348926166,-3.4202531859032548,-2.707738375672687,-4.517326568727105,-4.107168158826967,-3.128728272069248,-4.100786875418415,-3.483560446284339,-3.9225530393566244,-3.59373533883378,-3.6831561123900496,-3.873044929367357,-4.3033408163738684,89
-1.3715867903544081,-3.3991818660493207,-2.6979384178814594,-4.510405944143572,-4.108999618257746,-3.1239422211947705,-4.101853806936394,-3.480227587384475,-3.923793172505413,-3.5951106708957328,-3.684668261090081,-3.874245029163909,-4.303907543910236,90
-1.3742469725493525,-3.3710679252811713,-2.699122042725894,-4.506591194004939,-4.112154826816217,-3.1219413521865884,-4.104395121609396,-3.4802412538765415,-3.9286972493082803,-3.5994887071020063,-3.6888026588096614,-3.878814687611833,-4.309601088419393,91
-1.3814674670784872,-3.294758657481907,-2.702334738732217,-4.496236872200075,-4.120718964332065,-3.1165104220215234,-4.111292975721829,-3.4802783486407227,-3.9420083149160643,-3.611371948233321,-3.7000245954770943,-3.8912180462561987,-4.325054994944251,92
-1.3921081958582644,-3.182302894409308,-2.707069238109956,-4.48097787164554,-4.133339798565945,-3.108506945988795,-4.121458234413835,-3.4803330146089886,-3.961624622127534,-3.628884093058415,-3.7165621863554152,-3.909496680047895,-4.347829172980883,93
-1.405029080805137,-3.045749467821153,-2.7128182730686397,-4.462449085257892,-4.148665097278516,-3.098788439377626,-4.133801762825557,-3.4803993947133125,-3.9854444237414626,-3.65014884034603,-3.736643546707663,-3.9316921639378126,-4.375483532025365,94
-1.419090043835557,-2.8971472094752198,-2.7190745758177943,-4.442285405953685,-4.16534262823043,-3.0882124174772354,-4.147234426097136,-3.4804716318856643,-4.01136597255662,-3.6732898888649044,-3.7584967917968735,-3.9558460728768403,-4.405577981573772,95
-1.433151006865977,-2.7485449511292863,-2.72533087856695,-4.42212172664948,-4.182020159182345,-3.0776363955768455,-4.160667089368716,-3.4805438690580166,-4.037287521371777,-3.6964309373837794,-3.780350036886084,-3.9799999818158684,-4.435672431122178,96
-1.4460718918128497,-2.611991524541129,-2.7310799135256327,-4.40359294026183,-4.197345457894915,-3.0679178889656757,-4.173010617780438,-3.4806102491623405,-4.0611073229857055,-3.717695684671394,-3.8004313972383317,-4.002195465705785,-4.4633267901666605,97
-1.4567126205926269,-2.499535761468531,-2.735814412903372,-4.388333939707295,-4.209966292128796,-3.059914412932948,-4.183175876472444,-3.4806649151306064,-4.080723630197175,-3.7352078294964883,-3.816968988116653,-4.020474099497482,-4.486100968203292,98
