C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-2.0468223916981394,-3.1718757136414952,-3.2289420678749186,-3.4760151046245893,-3.6240874579414437,-3.7046731269864233,-3.641656612131121,-3.965701678251838,-4.077918157460529,-3.502971915924756,-6.41966293834258,-4.977596035445212,-5.027659638772598,-3.6154777206821325,-3.699569855751974,-3.7121688856149038,-3.9642324562618514,-6.253748195662722,-4.439951121824626,-4.9952611322025176,-5.701809634931605,-5.083666530059077,119
-2.0372829844053837,-3.180323698201823,-3.254327366055844,-3.4867610292568436,-3.6255712316944884,-3.709022091407671,-3.671876028144328,-3.980691723743198,-4.107802556601856,-3.521929406398592,-6.424846101076167,-5.08778389662927,-5.1408589622615395,-3.6286191356474227,-3.724565205596092,-3.7546484539166514,-4.009228774085149,-6.323139823513991,-4.375249805066668,-5.114219822611837,-5.682240171982664,-5.089481991833212,120
-2.0300866613601296,-3.1964492782648604,-3.276388333471796,-3.4922303284990615,-3.6494983940888877,-3.718056009690478,-3.6961452898965,-3.9917751453509402,-4.154196681567189,-3.5424161274989534,-6.348375871123522,-5.182275940363558,-5.2425061793174885,-3.674010706776943,-3.7394922054302473,-3.8024639416393935,-4.044877192663628,-6.292979047027424,-4.345835261783924,-5.21779774825312,-5.683711838570087,-5.1362126562810575,121
-2.0252227947212424,-3.219488077155364,-3.296161073370339,-3.492077776804144,-3.689784015514549,-3.72873785488086,-3.71609244884447,-3.997973678541661,-4.215163386375343,-3.5641936990396244,-6.192450860197435,-5.268144329976329,-5.34486611166018,-3.744886172643651,-3.7456051565292086,-3.857587839405716,-4.0740784035959114,-6.172899534378675,-4.335531447797141,-5.3148681170030985,-5.687706362164522,-5.2163894735093965,122
-2.0223091567345968,-3.2477855303131116,-3.3139638585618574,-3.4877589592324445,-3.74348940603473,-3.74144776120784,-3.732297348937415,-4.0007572192365135,-4.287308061112553,-3.5870316395322117,-5.975264017174796,-5.346404852898063,-5.444285600952934,-3.8365147772702533,-3.7450150680423415,-3.9175917609194175,-4.098035185824552,-5.984010047405574,-4.341685120474167,-5.40538178424955,-5.693593028514213,-5.321225640738463,123
-2.020963519646072,-3.2796870731778824,-3.330114961856741,-3.4807294608443162,-3.8076758757126927,-3.7565658629004437,-3.7453398341245117,-4.001595663356657,-4.367236095865057,-3.610699467488323,-5.715008290932499,-5.418073296559243,-5.5371114888590665,-3.944165764679457,-3.7398329491190165,-3.980047319884296,-4.117950318292107,-5.7474193479459625,-4.3616430371828585,-5.489289605380256,-5.700741123367413,-5.441934355188501,124
-2.0208036557015423,-3.313538141189453,-3.344932656065374,-3.472444866700112,-3.8794047346116933,-3.7744722941876923,-3.7557997483549346,-4.0019589068232415,-4.45155288071909,-3.6349667014195624,-5.429876630347431,-5.484165448390347,-5.619690617041893,-4.0631083788939675,-3.732169808908596,-4.042526130004148,-4.135026579941129,-5.484236197837669,-4.392751955291066,-5.566542435782992,-5.708519932472363,-5.569728814079745,125
-2.0214473371468857,-3.3476841697876023,-3.358735213998144,-3.4643607618601857,-3.9557372927949936,-3.795547189298611,-3.764256935577862,-4.003316845557427,-4.53686380576089,-3.6596028598375376,-5.138061984296483,-5.545697095821858,-5.688369827164735,-4.188611863936494,-3.72413665656045,-4.102599804982775,-4.150466749714176,-5.215569358918528,-4.432358632166649,-5.63709113084554,-5.716298741577315,-5.695822214632439,126
-2.022512336227978,-3.380470594412107,-3.371840908465437,-3.457932731384889,-4.0337348603258505,-3.820170682462223,-3.771291239742468,-4.0071393754803655,-4.619774261076691,-3.6843774612538542,-4.857757301656554,-5.603684026284252,-5.739495960890903,-4.3159454638297365,-3.717844501223945,-4.15783995852397,-4.1654736065538005,-4.962527593026382,-4.477809825177453,-5.700886545955673,-5.723446836430513,-5.8114277540668144,127
-2.023616425190697,-3.4102428505027462,-3.3845680122776387,-3.454616360334577,-4.110458747267524,-3.8487229079075522,-3.7774825047979297,-4.014896392513212,-4.696889636752731,-3.7090600241801184,-4.6071555313045325,-5.659142027208013,-5.769415859883717,-4.440378422596407,-3.7154043520484463,-4.205818204331533,-4.181249929402558,-4.746219661999062,-4.526452291691337,-5.757879536501172,-5.7293335027802055,-5.907758629603114,128
