C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-3.819629194395888,-4.231120449326982,-4.204966334686394,-4.27570109037155,-5.623446077236986,-3.718857469399531,-4.340257458641734,-4.723534084390129,-3.6054720985241775,-3.823327326922529,-3.9657761989504126,-3.6459656055257303,-4.352611953676507,-3.7398038033289973,-4.253814826049565,-5.875714913490255,59
-3.804854046006221,-4.215422130076128,-4.209610388616297,-4.276531799320853,-5.642938095236854,-3.7078766910025434,-4.339391730359305,-4.68091848814472,-3.603641128683214,-3.819445705446484,-3.9689922166789637,-3.6302558396836417,-4.362196631789714,-3.739792146583488,-4.256717625651462,-5.864530744079197,60
-3.7633156749303716,-4.219002462604045,-4.219169496677442,-4.269969168363318,-5.617579585183438,-3.692623747734784,-4.341106713967619,-4.689490327036901,-3.5980048769587554,-3.814602903693502,-3.9694905134964364,-3.631689762078235,-4.34990689622847,-3.740523923714062,-4.2550970714918215,-5.8425817408995115,61
-3.650568667724495,-4.2287205080369645,-4.245115647129122,-4.25215631290715,-5.548749343609879,-3.651222901722295,-4.345761669475902,-4.712756746887106,-3.5827064794209385,-3.801458156078265,-3.9708430334295763,-3.635581837149272,-4.316549042562236,-3.7425101759256196,-4.250698424487082,-5.783005875126079,62
-3.4844151834210977,-4.243041838148635,-4.283352079373703,-4.225905789077008,-5.4473153033962145,-3.5902111286512577,-4.352621603909161,-4.7470441024558285,-3.5601614725231037,-3.782086949066337,-3.9728362206994667,-3.641317526727643,-4.267390100317258,-3.745437284447916,-4.244216207848519,-5.695209862407338,63
-3.282657381052689,-4.260432024712807,-4.329782032813552,-4.194030152997551,-5.32414539742248,-3.5161254042078567,-4.360951524292404,-4.788678748503563,-3.5327853927185906,-3.7585647691232826,-3.975256519527192,-3.6482822926442373,-4.2076970990197875,-3.7489916305107043,-4.236344944787406,-5.588600418391725,64
-3.063097419651773,-4.279356639503227,-4.380308746851034,-4.159341960793435,-5.19010755856871,-3.4355027040782726,-4.370016437650639,-4.833987039790804,-3.5029937764607375,-3.732967102714664,-3.9778903741338327,-3.6558615967299417,-4.142737068196069,-3.752859595343738,-4.227779158515019,-5.472584258727675,65
-2.843537458250855,-4.2982812542936495,-4.430835460888516,-4.12465376858932,-5.056069719714938,-3.354880003948688,-4.379081351008875,-4.879295331078045,-3.4732021602028844,-3.7073694363060454,-3.9805242287404745,-3.6634409008156474,-4.07777703737235,-3.756727560176772,-4.219213372242632,-5.356568099063624,66
-2.6417796558824462,-4.3156714408578205,-4.477265414328365,-4.092778132509863,-4.932899813741204,-3.280794279505287,-4.387411271392118,-4.9209299771257795,-3.445826080398371,-3.68384725636299,-3.9829445275681983,-3.6704056667322407,-4.018084036074878,-3.76028190623956,-4.211342109181519,-5.249958655048011,67
-2.4756261715790493,-4.329992770969491,-4.5155018465729455,-4.06652760867972,-4.831465773527539,-3.21978250643425,-4.394271205825376,-4.9552173326945015,-3.4232810735005357,-3.6644760493510624,-3.9849377148380887,-3.676141356310612,-3.968925093829902,-3.7632090147618555,-4.204859892542956,-5.162162642329269,68
-2.3628791643731737,-4.33971081640241,-4.541447997024625,-4.048714753223552,-4.762635531953982,-3.178381660421761,-4.39892616133366,-4.978483752544706,-3.407982675962719,-3.6513313017358255,-3.986290234771229,-3.6800334313816494,-3.935567240163668,-3.7651952669734134,-4.200461245538217,-5.102586776555838,69
-2.321340793297325,-4.343291148930327,-4.5510071050857706,-4.0421521222660175,-4.7372770219005655,-3.163128717154002,-4.400641144941974,-4.987055591436887,-3.4023464242382606,-3.6464884999828437,-3.9867885315887017,-3.681467353776242,-3.923277504602424,-3.7659270441039876,-4.198840691378575,-5.080637773376153,70
-2.318291660185521,-4.330286281243136,-4.546902168525341,-4.03046420504394,-4.731270803459937,-3.156333087510024,-4.3993652699126455,-4.979563702729844,-3.39734998491191,-3.6425190335502995,-3.9874983538390305,-3.6814075967109856,-3.922934443937898,-3.766503675745249,-4.195212388607201,-5.074822216031114,71
-2.3100154417391954,-4.2949873546636175,-4.535760197861316,-3.9987398582983027,-4.714968210549658,-3.137887807047798,-4.395902180547324,-4.959228576239298,-3.3837882210261014,-3.631744767519108,-3.9894250142327796,-3.681245398962431,-3.9220032792770416,-3.7680688187715288,-4.185364138227757,-5.059037131808866,72
-2.2978189092919794,-4.242967883914853,-4.519340451619595,-3.951988189409994,-4.690943336787143,-3.1107052884718858,-4.390798680430009,-4.929261021411125,-3.3638024637206994,-3.615866901788931,-3.9922643032340948,-3.6810063707014042,-3.9206310366189374,-3.770375345336573,-4.170850927142261,-5.035774902428712,73
-2.2830088341775032,-4.1798013837199255,-4.499402188326078,-3.895218305759906,-4.661770275789803,-3.0776979444868506,-4.384601573144699,-4.892871847691201,-3.3395340441355685,-3.5965866362594316,-3.9957120113071207,-3.6807161220987292,-3.9189647419626685,-3.773176127594128,-4.153227742252731,-5.007527909609954,74
-2.2668919877293963,-4.111061368801916,-4.477704666506661,-3.8334393147289276,-4.630023121175051,-3.041778187797253,-4.377857662275389,-4.853271864525402,-3.3131242934105734,-3.5756051708302694,-3.999463928916001,-3.6804002633252297,-3.9171514213073166,-3.7762240376979364,-4.134049570461182,-4.976788535071893,75
-2.2507751412812893,-4.0423213538839065,-4.456007144687245,-3.7716603236979487,-4.598275966560299,-3.0058584311076553,-4.371113751406081,-4.8136718813596024,-3.2867145426855777,-3.5546237054011076,-4.003215846524881,-3.68008440455173,-3.915338100651965,-3.779271947801745,-4.114871398669634,-4.946049160533832,76
-2.2359650661668122,-3.9791548536889785,-4.4360688813937275,-3.714890440047861,-4.569102905562959,-2.9728510871226197,-4.364916644120769,-4.777282707639678,-3.262446123100447,-3.5353434398716077,-4.006663554597908,-3.6797941559490543,-3.913671805995696,-3.7820727300592996,-4.097248213780103,-4.917802167715073,77
-2.2237685337195963,-3.9271353829402136,-4.419649135152007,-3.668138771159552,-4.545078031800443,-2.9456685685467074,-4.359813144003454,-4.747315152811505,-3.242460365795045,-3.5194655741414307,-4.009502843599222,-3.6795551276880274,-3.9122995633375917,-3.7843792566243435,-4.082735002694607,-4.894539938334918,78
-2.2154923152732713,-3.8918364563606955,-4.408507164487982,-3.636414424413915,-4.528775438890165,-2.9272232880844817,-4.356350054638133,-4.72698002632096,-3.228898601909236,-3.5086913081102398,-4.0114295039929715,-3.6793929299394734,-3.9113683986767356,-3.785944399650624,-4.0728867523151635,-4.878754854112671,79
-2.212443182161467,-3.8788315886735045,-4.404402227927552,-3.6247265071918378,-4.522769220449536,-2.920427658440504,-4.355074179608804,-4.719488137613917,-3.2239021625828856,-3.5047218416776955,-4.0121393262433,-3.679333172874217,-3.9110253380122093,-3.786521031291885,-4.069258449543789,-4.872939296767632,80
-2.2057715488127454,-3.868893021690851,-4.4017224253371285,-3.616727211681794,-4.518290756846792,-2.9160649062082107,-4.35235898975483,-4.714743290349493,-3.221012241335728,-3.5009075659548454,-4.013138868189677,-3.682898128601616,-3.9123778420582727,-3.7894638782532724,-4.07826336121534,-4.880793639898302,81
-2.187662829723359,-3.841916911309364,-4.394448675448838,-3.5950148381545337,-4.506134927067915,-2.9042231501491296,-4.344989188722613,-4.701864419203201,-3.213168169379157,-3.490554531849967,-4.015851910615559,-3.6925744370045557,-3.9160489244690164,-3.7974516057198957,-4.102705264323833,-4.902112571252976,82
-2.1609762963284718,-3.80216264337875,-4.383729465087146,-3.5630176561143596,-4.488221072656938,-2.8867721412199567,-4.3341284293067135,-4.682885030145505,-3.2016084843905257,-3.4752974289585667,-4.019850078401067,-3.706834259914151,-3.92145894065327,-3.809222993565445,-4.138724911010035,-4.933529943775655,83
-2.1285712200632534,-3.7538896037487204,-4.3707132810765215,-3.524163935065578,-4.466468535157896,-2.8655816303773904,-4.320940364301694,-4.6598386291468765,-3.1875717240471886,-3.456770946876153,-4.024704996426328,-3.7241497591615174,-3.928028246019864,-3.8235168216636133,-4.182463053414709,-4.971679610410337,84
-2.093306872362868,-3.7013571782689816,-4.356548610241429,-3.4818819445124913,-4.442796656114819,-2.8425213685781268,-4.306588646502113,-4.63475872217778,-3.1722964260264974,-3.4366097751982316,-4.029988289571464,-3.7429930965777682,-3.935177195977628,-3.8390718698880897,-4.230060443678619,-5.013195424101019,85
-2.058042524662482,-3.648824752789242,-4.3423839394063375,-3.439599953959404,-4.419124777071743,-2.819461106778863,-4.292236928702532,-4.609678815208683,-3.1570211280058063,-3.4164486035203105,-4.0352715827166,-3.76183643399402,-3.942326145935392,-3.854626918112566,-4.277657833942529,-5.054711237791702,86
