C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-0.34054546317788587,-3.2862536073331947,-4.149300277493959,-3.6986389536946676,-3.086060279190225,-2.8337741457423062,-3.975112230419333,-3.9002832236824547,-3.9638671838934436,-3.1356094818377627,-3.4025848067520243,-3.818384708399141,-4.286248116369187,-3.9940481359742015,-4.098014042812341,-4.197566658579858,-4.5573834895383225,-5.558358406348269,99
-0.33247387960024694,-3.2794083228734463,-4.144708660187664,-3.6874253242366755,-3.078772872941252,-2.8357663822410135,-3.961171829462821,-3.8899756548429867,-3.945813256156152,-3.1360392412886826,-3.4035667396171796,-3.821599113104208,-4.292922264878286,-3.999446349183461,-4.103921745497317,-4.203717755128708,-4.562180392262907,-5.570022389823154,100
-0.33182387856122125,-3.27195899892025,-4.131881131821997,-3.6778017191651755,-3.0784965799208215,-2.8380550777432,-3.949339436731799,-3.8789112117711833,-3.93174799419309,-3.138616451283524,-3.405405856356527,-3.823037434981474,-4.29714845906238,-4.003888746648357,-4.107634739371112,-4.206138604579316,-4.567722556767641,-5.554927187217414,101
-0.33005959002672286,-3.2517394053330033,-4.097063554829471,-3.651680505399675,-3.07774664172251,-2.844267251249135,-3.917222942176167,-3.8488791520048595,-3.8935708545790635,-3.1456117355552373,-3.4103977446490417,-3.8269414515054825,-4.308619557562063,-4.015946682624504,-4.1177128655999855,-4.212709481659535,-4.58276557470906,-5.513954494430405,102
-0.32745958587062,-3.221942109520218,-4.0457534413668,-3.613186085113674,-3.0766414696407876,-2.853422033257881,-3.869893371252078,-3.804621379717645,-3.8373098067268145,-3.1559205755346036,-3.417754211606431,-3.832694739014546,-4.325524334298438,-4.033716272484088,-4.132564841095166,-4.222392879461963,-4.604934232727993,-5.453573684007444,103
-0.32430243796678093,-3.185759678890409,-3.983448303590703,-3.566442860480674,-3.075299474970125,-2.8645385542685022,-3.812421749415686,-3.750879799083172,-3.768992820049085,-3.1684384526524063,-3.426687064340405,-3.839680873846982,-4.346051563192609,-4.055293631599298,-4.150599382767886,-4.234151291079199,-4.631853317465271,-5.380254128493851,104
-0.3208667181890736,-3.1463846808520857,-3.915645653657889,-3.5155752336741735,-3.073839069004992,-2.87663594478006,-3.749879102123141,-3.6923963142750678,-3.6946478639586133,-3.182060848339426,-3.4364081099626693,-3.8472834323411025,-4.368390018165676,-4.0787748753423205,-4.170225207529375,-4.246947209603836,-4.661147615561719,-5.300465200434939,105
-0.31743099841136624,-3.107009682813762,-3.847843003725075,-3.4647076068676723,-3.072378663039859,-2.8887333352916174,-3.6873364548305947,-3.6339128294669627,-3.620302907868141,-3.1956832440264464,-3.4461291555849347,-3.854885990835223,-4.3907284731387435,-4.102256119085343,-4.189851032290865,-4.259743128128474,-4.690441913658168,-5.220676272376026,106
-0.3142738505075271,-3.0708272521839524,-3.7855378659489767,-3.4179643822346724,-3.0710366683691963,-2.899849856302238,-3.629864832994202,-3.5801712488324893,-3.5519859211904103,-3.208201121144249,-3.455062008318908,-3.8618721256676585,-4.411255702032913,-4.123833478200552,-4.207885573963586,-4.271501539745709,-4.717360998395445,-5.147356716862432,107
-0.3116738463514243,-3.041029956371168,-3.7342277524863077,-3.379469961948672,-3.0699314962874737,-2.909004638310984,-3.582535262070114,-3.5359134765452755,-3.4957248733381623,-3.2185099611236154,-3.4624184752762974,-3.8676254131767225,-4.428160478769288,-4.141603068060137,-4.222737549458767,-4.2811849375481374,-4.739529656414378,-5.086975906439472,108
-0.309909557816926,-3.020810362783921,-3.699410175493782,-3.353348748183172,-3.0691815580891624,-2.915216811816919,-3.5504187675144827,-3.5058814167789523,-3.4575477337241365,-3.2255052453953286,-3.467410363568812,-3.8715294297007303,-4.439631577268972,-4.153661004036284,-4.23281567568764,-4.287755814628357,-4.754572674355798,-5.0460032136524635,109
-0.30925955677790024,-3.013361038830725,-3.6865826471281147,-3.343725143111672,-3.068905265068732,-2.9175055073191056,-3.5385863747834607,-3.494816973707149,-3.4434824717610746,-3.22808245539017,-3.4692494803081595,-3.8729677515779963,-4.443857771453065,-4.1581034015011795,-4.236528669561435,-4.290176664078964,-4.760114838860531,-5.030908011046724,110
-0.30766784239928024,-3.011920498727027,-3.6877355748422787,-3.340451858034196,-3.0714940082818245,-2.919772938369657,-3.5369068669315076,-3.492993476864501,-3.4422694362561095,-3.2313932283909232,-3.472611053730445,-3.878056263640208,-4.442829346176728,-4.1620431000340155,-4.2409497050628024,-4.294028063059221,-4.765261198577898,-5.073090662147356,111
-0.303347474800169,-3.008010461302705,-3.690864950066438,-3.3315672271096197,-3.0785205970030756,-2.9259273940782973,-3.5323482027619213,-3.488043985434458,-3.4389769113140627,-3.2403796122501114,-3.481735324448078,-3.89186793923764,-4.440037906140954,-4.172736567480286,-4.252949658566516,-4.304481860291347,-4.779229889239324,-5.187586429420499,112
-0.29698061728568914,-3.0022483008879135,-3.6954766609230933,-3.3184740867997173,-3.0888755698554453,-2.9349971182805032,-3.5256301713541087,-3.4807499980638665,-3.434124769294203,-3.2536227042531243,-3.49518161813722,-3.912221987486486,-4.435924205035603,-4.188495361611632,-4.2706338005719875,-4.319887456212373,-4.799815328108792,-5.356317033823023,113
