C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,time
-2.869926227882041,-2.637069180307505,-2.982104215049641,-2.3755605238349826,-2.723398266076234,-3.7475080689717086,-2.58208047631136,-3.0400313764209277,-3.0452902914179463,-3.363347693524468,-2.872361387842909,-2.7685047494915245,-2.9974663458385833,-3.130632163182958,-3.0189779768072915,-3.240305745101906,-4.551606131813669,68
-2.852522794972236,-2.636132232625167,-2.9847376960581022,-2.3808049398672777,-2.7077135416607945,-3.7230797905826627,-2.5879085507689337,-3.047320512816104,-3.0520933935089642,-3.376396206857158,-2.8809461147965205,-2.7740677431638803,-3.0000537245137924,-3.1376472524736285,-3.0239593007700813,-3.247781765777656,-4.616192239013768,69
-2.837908979517816,-2.635787041373779,-2.985707925903325,-2.38742579721253,-2.701934958981422,-3.6859206590095708,-2.595325213863981,-3.0551360401221475,-3.0608324435779624,-3.390868351690097,-2.8907970951415205,-2.781229829858186,-3.0051120489079124,-3.1458408433722864,-3.030979294320833,-3.2564864774097035,-4.639987120613805,70
-2.826016462349586,-2.6390147285335472,-2.976870274240458,-2.3957134514234513,-2.700924107082985,-3.631172098373178,-2.60469597786633,-3.0630416109159846,-3.0718991305650722,-3.4079190610768766,-2.9023040858116316,-2.790254258687316,-3.012777517099814,-3.1548622311460948,-3.039614609908953,-3.2661804492087705,-4.645323676951732,71
-2.8159740197468737,-2.6477755936814895,-2.9528823625841043,-2.4056222915033487,-2.698180366215797,-3.558355047307566,-2.6159801982717985,-3.0707980877180123,-3.085222380187621,-3.428085687766578,-2.9155609237845685,-2.80104390511096,-3.022661237300389,-3.164384025384128,-3.04927153319962,-3.2765914484333822,-4.65980861558325,72
-2.807380803915328,-2.6606863423205622,-2.9175317559326364,-2.416847897278168,-2.694136958622048,-3.4718979211074172,-2.6288036429786654,-3.0786981247506926,-3.1003864168876207,-3.4505424138588188,-2.930242041826589,-2.8132928907665375,-3.0344235407608493,-3.1745690179300547,-3.0600402309372523,-3.2878045158045532,-4.68115484093496,73
-2.7998359670605977,-2.6763636799537225,-2.8746060192844256,-2.4290858485738522,-2.6892271065439237,-3.376229135067414,-2.642792079885214,-3.087034376236488,-3.1169754651070853,-3.474463421453214,-2.946021872703949,-2.8266953372914685,-3.0477247587324054,-3.185580000627545,-3.0720108698662685,-3.299904692043299,-4.707075257433466,74
-2.792938661388331,-2.6934243120839256,-2.8278927176378432,-2.442031725216347,-2.6838840322236113,-3.275777104482239,-2.6575712768897253,-3.09609949639786,-3.134573749288025,-3.49902289264938,-2.9625748491829063,-2.8409453663231723,-3.0622252224662674,-3.1975797653202656,-3.085273616731085,-3.312977017870633,-4.735282769505369,75
-2.7862880391041767,-2.7104849442141292,-2.781179415991261,-2.4553811070315956,-2.6785409579032997,-3.174970244646573,-2.6727670018904806,-3.106186139457272,-3.1527654938724536,-3.5233950095469333,-2.9795754040297173,-2.855737099499069,-3.077585263213646,-3.2107311038518866,-3.0999186382761215,-3.3271065340075703,-4.763490281577273,76
-2.7794832524137836,-2.726162281847289,-2.7382536793430496,-2.468829573845544,-2.673631105825175,-3.078236970855099,-2.688005022785761,-3.1175869596371846,-3.1711349233023824,-3.5467539542454904,-2.9966979700106395,-2.8707646584565776,-3.093465212225752,-3.2251968080660762,-3.1160361012457956,-3.3423782811751255,-4.789410698075779,77
-2.7721234535228,-2.7390730304863613,-2.7029030726915817,-2.482072705484135,-2.6695876982314255,-2.9900056984024976,-2.7029111074738488,-3.1305946111600624,-3.189266262019825,-3.568273908844666,-3.0136169798919297,-2.885722164833117,-3.1095254007537965,-3.2411396698065027,-3.133716172384525,-3.358877300094312,-4.810756923427489,78
-2.763807794636875,-2.747833895634304,-2.6789151610352286,-2.4948060817733153,-2.6668439573642386,-2.914704842583454,-2.717111023853025,-3.145501748248366,-3.2067437344667926,-3.5871290554440787,-3.0300068664398454,-2.9003037402661085,-3.125426160048989,-3.258722480916835,-3.1530490184367284,-3.376688631486146,-4.8252418620590065,79
-2.7541354279616574,-2.751061582794072,-2.6700775093723617,-2.5067252825390267,-2.665833105465801,-2.8567628186926486,-2.7302305398215707,-3.1626010251245575,-3.2231515650852973,-3.6024935761433423,-3.0455420624206435,-2.9142035063929708,-3.1408278213625422,-3.278108033240742,-3.1741248061468235,-3.3958973160716406,-4.830578418396934,80
-2.7436119044369502,-2.7561406687746364,-2.6668267558205336,-2.5186682206149267,-2.667485652504542,-2.8137629351681017,-2.743253506529415,-3.1841439944481142,-3.2397160098880704,-3.6143647817439373,-3.06116609614329,-2.928618518779766,-3.1570905548870094,-3.301890143716831,-3.1991677347215264,-3.4188874815358252,-4.862038144607413,81
