C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,time
-2.329075256839865,-3.1363312829466747,-2.8168375243319885,-3.156968587163025,-3.6062063978492076,-3.5823867953326687,-3.081062027209124,-3.3636795302152387,-3.2421313524680078,-3.929514407552167,-3.6080398669332423,-3.9940505926267917,-3.6060172653121207,-3.7459915468294254,-3.239225413207449,-3.2575892466389087,-3.348597748501927,-3.799172914079054,-3.585123346399162,-6.085532710568772,-4.475862788322469,104
-2.305056692898844,-3.1527559470702693,-2.8344645646807054,-3.1796177266027157,-3.6845657478663583,-3.6185408459485746,-3.1057624289740744,-3.3702370228471885,-3.262120178030413,-4.080716369875485,-3.6111193211862878,-4.091524452012614,-3.601114451930866,-3.8151961414752407,-3.2476961455911972,-3.277759303662573,-3.350932214868119,-3.799379397162337,-3.5772177713889595,-6.153050139831476,-4.681673553891753,105
-2.281284314949375,-3.168320281083884,-2.853818696025532,-3.2017784086429426,-3.7596423147589584,-3.6530984784250977,-3.1328789782827333,-3.379666948851236,-3.2828807771356625,-4.240523068727611,-3.6212141724103986,-4.187323625686386,-3.6031504284790263,-3.881454787880687,-3.258174012348176,-3.3000252648483523,-3.357089032013392,-3.8106291191040356,-3.5763806216253102,-6.220567569094179,-4.885571756945017,106
-2.2580358984251445,-3.182514449998439,-2.874671416645634,-3.223565432249856,-3.827728227388112,-3.684911489804649,-3.1619955127856185,-3.3924757262664165,-3.3038279910475383,-4.404714791959551,-3.640921296157572,-4.275898178965209,-3.6155691593074226,-3.9409242560310402,-3.271139683843655,-3.324046673411446,-3.367794365247603,-3.838196232185439,-3.586173844079343,-6.282610612200448,-5.076749255377814,107
-2.2355892187598387,-3.1948286188248534,-2.89679422482018,-3.24509359638961,-3.885115614614922,-3.7128316771296386,-3.19269587013325,-3.4091697731317656,-3.3243766610298238,-4.569071827422301,-3.6728375679798053,-4.351698177166179,-3.641814608766878,-3.9897613159115757,-3.287073830442902,-3.3494830725670552,-3.3837743798806095,-3.887354888687839,-3.610159385722189,-6.333704882993844,-5.244397907085688,108
-2.2142220513871456,-3.204752952574049,-2.9199586188283377,-3.266477700028356,-3.9280966053004955,-3.7357108374424772,-3.2245638879761485,-3.4302555074863195,-3.3439416283463035,-4.7293744629668675,-3.7195598634290974,-4.409173685606403,-3.6853307412082157,-4.024122737507571,-3.3064571225111874,-3.3759940055303783,-3.405755241222271,-3.9633792408925275,-3.651899193524981,-6.368375995317935,-5.37770956996419,109
-2.1942121717407495,-3.211777616256945,-2.943936096949275,-3.2878325421322465,-3.952963328305935,-3.752400767785577,-3.2571834039648317,-3.456239347369113,-3.361937734260759,-4.881402986444252,-3.783685058057446,-4.442774769602979,-3.749561520982258,-4.0401652908043015,-3.3297702304137795,-3.4032390155166174,-3.4344631145824467,-4.071543441080794,-3.714955214458848,-6.381149563016284,-5.46587610190887,110
-2.174998949323008,-3.2141842918890147,-2.9702184078732388,-3.30993021889935,-3.954271838356278,-3.7611380555271308,-3.293012474805015,-3.4908296086272013,-3.3784221629601627,-5.046033227088816,-3.8709677417585087,-4.4489583788109375,-3.8408575009024886,-4.0303831094059195,-3.3596260710788624,-3.431450651888857,-3.473195869587005,-4.234676665392075,-3.8051914134143963,-6.361580100067343,-5.503112902463753,111
-2.155982859333628,-3.2115470761341944,-2.999871265620118,-3.333080621882213,-3.9328429211094735,-3.7621337559758565,-3.33384826332526,-3.535561292468467,-3.394033514719279,-5.239238865592685,-3.9819118527896538,-4.431511639746818,-3.95917524727925,-3.9945918394040723,-3.3969777920507034,-3.46111117503305,-3.523032595706764,-4.459992298204722,-3.9221716777311655,-6.308462986348787,-5.497414748372725,112
-2.1373833357523253,-3.205294755976103,-3.0320271164635426,-3.356705243078705,-3.8943658018259937,-3.7572013680849516,-3.378283266360356,-3.587680844973185,-3.4090587549335805,-5.449446966993499,-4.1112382892484405,-4.395879883019991,-4.098367744708649,-3.9399305195152845,-3.4398164096186963,-3.492254694698692,-3.581371288018996,-4.729340804158386,-4.0600078380536715,-6.230185134553021,-5.458642563331131,113
