ID,rank,mean,variable,value,average,cluster
10693,83,6.709684471944333e-5,11,1.1904134818851788e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,14,6.508852742123468e-5,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,9,2.256839819158444e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,10,1.014641649649798e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,6,4.603065080564153e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,9,3.33415375457194e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,4,0,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,17,1.7069552342694673e-4,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,17,2.455361092923251e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,6,1.2664270424699346e-4,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,3,7.975955153862821e-6,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,15,3.789028332280627e-5,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,14,4.846519847552367e-5,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,17,1.142885794003315e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,13,1.237950033523124e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,10,1.0239077834365542e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,18,8.46797454869602e-5,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,17,1.1686928925775837e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,13,1.5530645875108285e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,6,1.0514615666263294e-5,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,13,2.47871358984971e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,8,1.7117234153114858e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,18,2.041386721560648e-5,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,6,0,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,11,1.3389251053562342e-4,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,3,4.785573092317693e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,4,0,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,16,3.6843760223349414e-5,6.923433272594578e-5,4
603,6,5.925022271804319e-5,9,1.1590834940786572e-4,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,7,1.3156101378724542e-4,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,5,5.54707474890934e-5,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,5,0,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,12,1.7062457849945228e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,13,2.2114289235208536e-4,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,18,5.6957209762062514e-5,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,8,1.626536557939841e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,3,3.123915768596272e-5,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,2,3.512149764130086e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,8,3.2344384908296347e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,12,9.340972687342896e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,5,0,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,14,7.492204595250036e-5,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,16,1.937473597951995e-5,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,12,2.388744098992332e-4,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,7,7.076387862798806e-5,6.923433272594578e-5,4
32001,225,1.1166620197295207e-4,10,1.1837485912580976e-4,8.770402211149449e-5,3
90236,611,1.1410720582486786e-4,2,0,8.770402211149449e-5,3
7168,52,1.8717544652599991e-4,2,3.259477119228641e-5,8.770402211149449e-5,3
45697,326,5.418718183142712e-5,2,1.01069057960578e-6,8.770402211149449e-5,3
38179,276,1.5489765521369198e-4,14,1.622530557658836e-4,8.770402211149449e-5,3
38179,276,1.5489765521369198e-4,11,2.3088916461515649e-4,8.770402211149449e-5,3
32001,225,1.1166620197295207e-4,13,2.630643821236639e-4,8.770402211149449e-5,3
10227,79,9.236288169843276e-5,10,1.3042083304859277e-4,8.770402211149449e-5,3
